"Date","Open","High","Low","Close","Jaw ‌Alligator‌ (y,13,21,8,13,5,8,n)","Teeth ‌Alligator‌ (y,13,21,8,13,5,8,n)","Lips ‌Alligator‌ (y,13,21,8,13,5,8,n)","MA ‌ma‌ (5,ma,0)","MA ‌ma‌ (15,ma,0)"
"Mon Dec 19 2022 10:15:00 GMT+0530 (India Standard Time)","18332.65","18351.80","18331.20","18347.35","18327.84","18286.37","18283.09","18333.04","18301.68"
"Mon Dec 19 2022 10:20:00 GMT+0530 (India Standard Time)","18347.45","18353.95","18341.75","18344.15","18324.13","18285.01","18287.21","18339.31","18307.18"
"Mon Dec 19 2022 10:25:00 GMT+0530 (India Standard Time)","18344.55","18350.15","18337.15","18345.65","18320.57","18283.37","18291.47","18340.95","18312.22"
"Mon Dec 19 2022 10:30:00 GMT+0530 (India Standard Time)","18345.10","18351.10","18342.35","18342.80","18318.39","18282.81","18291.85","18342.70","18317.18"
"Mon Dec 19 2022 10:35:00 GMT+0530 (India Standard Time)","18342.50","18345.50","18336.55","18337.30","18314.34","18283.06","18295.08","18343.45","18320.93"
"Mon Dec 19 2022 10:40:00 GMT+0530 (India Standard Time)","18337.00","18353.30","18332.40","18350.60","18310.41","18285.86","18301.34","18344.10","18325.64"
"Mon Dec 19 2022 10:45:00 GMT+0530 (India Standard Time)","18350.55","18358.15","18348.35","18351.70","18306.97","18288.09","18308.97","18345.61","18328.92"
"Mon Dec 19 2022 10:50:00 GMT+0530 (India Standard Time)","18351.20","18354.45","18337.75","18339.75","18304.08","18290.64","18313.96","18344.43","18331.22"
"Mon Dec 19 2022 10:55:00 GMT+0530 (India Standard Time)","18338.95","18341.20","18325.45","18326.55","18301.18","18290.98","18319.47","18341.18","18333.08"
"Mon Dec 19 2022 11:00:00 GMT+0530 (India Standard Time)","18326.10","18338.10","18323.35","18327.55","18299.20","18293.11","18325.14","18339.23","18335.23"
"Mon Dec 19 2022 11:05:00 GMT+0530 (India Standard Time)","18327.40","18343.90","18327.35","18343.70","18297.10","18297.27","18328.85","18337.85","18338.33"
"Mon Dec 19 2022 11:10:00 GMT+0530 (India Standard Time)","18343.80","18344.95","18335.85","18339.45","18295.71","18302.54","18332.42","18335.40","18340.11"
"Mon Dec 19 2022 11:15:00 GMT+0530 (India Standard Time)","18340.00","18347.40","18336.50","18347.35","18294.87","18306.47","18334.14","18336.92","18340.77"
"Mon Dec 19 2022 11:20:00 GMT+0530 (India Standard Time)","18346.70","18354.40","18346.30","18351.30","18295.68","18310.85","18335.88","18341.87","18341.92"
